pk_ID,granularity,rowID,formatting,createdDate,modifiedDate,createdBy,modifiedBy,createdIP,modifiedIP,Plant,Code,Destination,Cluster,SubCluster,RDC,TruckType,DestCategory,PreferredTruckType
1,,1,{},1450256240,1450256240,15,15,,,1110,4000,PUZHAL,S,S,,32 MA,EXPORT,18 FT
2,,2,{},1450256240,1450256240,15,15,,,1110,4001,KALAMASERRY (EXPORT),S,S,,32 MA,EXPORT,18 FT
3,,3,{},1450256240,1450256240,15,15,,,1110,4002,PATNA EXPORTS,E1,E1,,32 MA,EXPORT,32 MA
4,,4,{},1450256240,1450256240,15,15,,,1110,4003,VICHOOR,S,S,,32 MA,EXPORT,18 FT
5,,5,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5001,NEW DELHI,N1,N1,5050,32 MA,DEPOT,32 MA
6,,6,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5002,AZADPUR,N1,N1,5050,32 MA,DEPOT,32 MA
7,,7,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5004,DILSHAD GARDEN,N1,N1,5050,32 MA,DEPOT,32 MA
8,,8,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5006,GHITTORNI,N1,N1,5050,32 MA,DEPOT,32 MA
9,,9,{},1450256240,1450256240,15,15,,,1110,5040,GURGAON RDC,N3,N3,5040,32 MA,DEPOT,32 MA
10,,10,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5050,DHARUHERA RDC,N2,N2,5050,32 MA,DEPOT,32 MA
11,,11,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5051,FARIDABAD,N3,N3,5050,32 MA,DEPOT,32 MA
12,,12,{},1450256240,1450256240,15,15,,,1110,5052,YAMUNA NAGAR,N2,N2,5040,32 MA,DEPOT,32 MA
13,,13,{},1450256240,1450256240,15,15,,,1110,5053,HISSAR,N2,N2,5040,32 MA,DEPOT,32 MA
14,,14,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5054,ROHTAK,N1,N1,5050,32 MA,DEPOT,32 MA
15,,15,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5055,GURGAON,N2,N2,5050,32 MA,DEPOT,32 MA
16,,16,{},1450256240,1450256240,15,15,,,1110,5061,PANIPAT,N2,N2,5040,32 MA,DEPOT,32 MA
17,,17,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5071,NOIDA,N1,N1,5050,32 MA,DEPOT,32 MA
18,,18,{},1450256240,1450256240,15,15,,,1110,5101,JAIPUR,N3,N3,5120,32 MA,DEPOT,32 MA
19,,19,{},1450256240,1450256240,15,15,,,1110,5102,TRANSPORT NAGAR,N3,N3,5120,32 MA,DEPOT,32 MA
20,,20,{},1450256240,1450256240,15,15,,,1110,5103,UDAIPUR,N3,N3,5120,32 MA,DEPOT,32 MA
21,,21,{},1450256240,1450256240,15,15,,,1110,5104,JODHPUR,N3,N3,5120,32 MA,DEPOT,32 MA
22,,22,{},1450256240,1450256240,15,15,,,1110,5105,BIKANER,N3,N3,5120,32 MA,DEPOT,32 MA
23,,23,{},1450256240,1450256240,15,15,,,1110,5106,KOTA,N3,N3,5120,32 MA,DEPOT,32 MA
24,,24,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5107,ALWAR,N3,N3,5050,32 MA,DEPOT,32 MA
25,,25,{},1450256240,1450256240,15,15,,,1110,5108,BARMER,N3,N3,5120,32 MA,DEPOT,32 MA
26,,26,{},1450256240,1450256240,15,15,,,1110,5109,BHILWARA,N3,N3,5120,32 MA,DEPOT,32 MA
27,,27,{},1450256240,1450256240,15,15,,,1110,5111,SRI GANGA NAGAR,N3,N3,5120,32 MA,DEPOT,32 MA
28,,28,{},1450256240,1450256240,15,15,,,1110,5112,SIKAR,N3,N3,5120,32 MA,DEPOT,32 MA
29,,29,{},1450256240,1450256240,15,15,,,1110,5114,AJMER,N3,N3,5120,32 MA,DEPOT,32 MA
30,,30,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5115,MORADABAD,N1,N1_1,5050,32 MA,DEPOT,32 MA
31,,31,{},1450256240,1450256240,15,15,,,1110,5116,BHARATPUR,N3,N3,5120,32 MA,DEPOT,32 MA
32,,32,{},1450256240,1450256240,15,15,,,1110,5120,JAIPUR RDC,N3,N3,5120,32 MA,DEPOT,32 MA
33,,33,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5151,KANPUR,N1,N1_1,5050,32 MA,DEPOT,32 MA
34,,34,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5152,LUCKNOW,N1,N1_1,5050,32 MA,DEPOT,32 MA
35,,35,{},1450256240,1450256240,15,15,,,1110,5153,VARANASI,N1,N1_1,6200,32 MA,DEPOT,32 MA
36,,36,{},1450256240,1450256240,15,15,,,1110,5155,GORAKHPUR,N1,N1_1,6200,32 MA,DEPOT,32 MA
37,,37,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5156,JHANSI,W2,W2,5050,32 MA,DEPOT,32 MA
38,,38,{},1450256240,1450256240,15,15,,,1110,5157,ALLAHABAD,N1,N1_1,6200,32 MA,DEPOT,32 MA
39,,39,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5201,MEERUT,N1,N1_1,5050,32 MA,DEPOT,32 MA
40,,40,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5202,BAREILLEY,N1,N1_1,5050,32 MA,DEPOT,32 MA
41,,41,{},1450256240,1450256240,15,15,,,1110,5203,AGRA,N1,N1_1,5120,32 MA,DEPOT,32 MA
42,,42,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5206,MUZAFFARNAGAR,N1,N1_1,5050,32 MA,DEPOT,32 MA
43,,43,{},1450256240,1450781405,15,15,,54.251.110.52,1110,5251,HALDWANI,N2,N2,5050,32 MA,DEPOT,32 MA
44,,44,{},1450256240,1450256240,15,15,,,1110,5252,DEHRADUN,N2,N2,5040,32 MA,DEPOT,32 MA
45,,45,{},1450256240,1450256240,15,15,,,1110,5301,JALANDHAR,N2,N2,5040,32 MA,DEPOT,32 MA
46,,46,{},1450256240,1450256240,15,15,,,1110,5302,JAMMU,N2,N2,5040,32 MA,DEPOT,32 MA
47,,47,{},1450256240,1450695821,15,19,,54.251.110.52,1110,5303,PARWANOO,N2,N2,5040,18 FT,DEPOT,18 FT
48,,48,{},1450256240,1450256240,15,15,,,1110,5304,CHANDIGARH,N2,N2,5040,32 MA,DEPOT,32 MA
49,,49,{},1450256240,1450256240,15,15,,,1110,5305,LUDHIANA,N2,N2,5040,32 MA,DEPOT,32 MA
50,,50,{},1450256240,1450256240,15,15,,,1110,5306,PATIALA,N2,N2,5040,32 MA,DEPOT,32 MA
51,,51,{},1450256240,1450256240,15,15,,,1110,5307,ZIRAKPUR,N2,N2,5040,32 MA,DEPOT,32 MA
52,,52,{},1450256240,1450256240,15,15,,,1110,5308,AMRITSAR,N2,N2,5040,32 MA,DEPOT,32 MA
53,,53,{},1450256240,1450256240,15,15,,,1110,5309,BATHINDA,N2,N2,5040,32 MA,DEPOT,32 MA
54,,54,{},1450256240,1450256240,15,15,,,1110,6000,KOLKATA RDC,E2,E2,6000,32 MA,DEPOT,32 MA
55,,55,{},1450256240,1450256240,15,15,,,1110,6001,KOLKATA,E2,E2,6000,32 MA,DEPOT,32 MA
56,,56,{},1450256240,1450256240,15,15,,,1110,6003,SILIGURI,E2,E2,6000,32 MA,DEPOT,32 MA
57,,57,{},1450256240,1450256240,15,15,,,1110,6004,ASANSOL,E2,E2,6000,32 MA,DEPOT,32 MA
58,,58,{},1450256240,1450256240,15,15,,,1110,6011,MIDNAPORE,E2,E2,6000,32 MA,DEPOT,32 MA
59,,59,{},1450256240,1450695821,15,19,,54.251.110.52,1110,6012,BERHAMPORE,E2,E2,6000,18 FT,DEPOT,18 FT
60,,60,{},1450256240,1450256240,15,15,,,1110,6013,SODEPUR,E2,E2,6000,32 MA,DEPOT,32 MA
61,,61,{},1450256240,1451972399,15,15,,54.251.110.52,1110,6052,ROURKELA,E2,E2,6053,32 MA,DEPOT,32 MA
62,,62,{},1450256240,1451972399,15,15,,54.251.110.52,1110,6053,BHUBANESHWAR,E2,E2,6053,32 MA,DEPOT,32 MA
63,,63,{},1450256240,1451972399,15,15,,54.251.110.52,1110,6054,BARBIL,E2,E2,6053,32 MA,DEPOT,32 MA
64,,64,{},1450256240,1451972399,15,15,,54.251.110.52,1110,6055,JEYPORE,E2,E2,6053,32 MA,DEPOT,32 MA
65,,65,{},1450256240,1450256240,15,15,,,1110,6101,GUWAHATI,E2,E2,6000,32 MA,DEPOT,32 MA
66,,66,{},1450256240,1450256240,15,15,,,1110,6102,TRIPURA ROAD,E2,E2,6000,32 MA,DEPOT,32 MA
67,,67,{},1450256240,1450695821,15,19,,54.251.110.52,1110,6103,SILCHAR,E2,E2,6000,18 FT,DEPOT,18 FT
68,,68,{},1450256240,1450256240,15,15,,,1110,6104,JORHAT,E2,E2,6000,32 MA,DEPOT,32 MA
69,,69,{},1450256240,1450256240,15,15,,,1110,6105,BARPETA,E2,E2,6000,32 MA,DEPOT,32 MA
70,,70,{},1450256240,1450256240,15,15,,,1110,6152,AGARTALA,E2,E2,6000,32 MA,DEPOT,32 MA
71,,71,{},1450256240,1450256240,15,15,,,1110,6154,AIZWAL,E2,E2,6000,32 MA,DEPOT,32 MA
72,,72,{},1450256240,1450256240,15,15,,,1110,6156,IMPHAL,E2,E2,6000,32 MA,DEPOT,32 MA
73,,73,{},1450256240,1450256240,15,15,,,1110,6200,PATNA RDC,E1,E1,6200,32 MA,DEPOT,32 MA
74,,74,{},1450256240,1450256240,15,15,,,1110,6201,PATNA,E1,E1,6200,32 MA,DEPOT,32 MA
75,,75,{},1450256240,1450256240,15,15,,,1110,6202,RANCHI,E1,E1,6200,32 MA,DEPOT,32 MA
76,,76,{},1450256240,1450256240,15,15,,,1110,6203,DHANBAD,E1,E1,6200,32 MA,DEPOT,32 MA
77,,77,{},1450256240,1450256240,15,15,,,1110,6204,MUZZAFFARPUR,E1,E1,6200,32 MA,DEPOT,32 MA
78,,78,{},1450256240,1450256240,15,15,,,1110,6205,JAMSHEDPUR,E1,E1,6200,32 MA,DEPOT,32 MA
79,,79,{},1450256240,1450256240,15,15,,,1110,6206,BEGUSARAI,E1,E1,6200,32 MA,DEPOT,32 MA
80,,80,{},1450256240,1450256240,15,15,,,1110,6207,GAYA,E1,E1,6200,32 MA,DEPOT,32 MA
81,,81,{},1450256240,1450256240,15,15,,,1110,7000,BARODA RDC,W1,W1_1,7000,32 MA,DEPOT,32 MA
82,,82,{},1450256240,1450256240,15,15,,,1110,7001,AHMEDABAD,W1,W1_1,7000,32 MA,DEPOT,32 MA
83,,83,{},1450256240,1450256240,15,15,,,1110,7002,SURAT,W1,W1_1,7000,32 MA,DEPOT,32 MA
84,,84,{},1450256240,1450256240,15,15,,,1110,7003,BARODA,W1,W1_1,7000,32 MA,DEPOT,32 MA
85,,85,{},1450256240,1450256240,15,15,,,1110,7004,MEHSANA,W1,W1_1,7000,32 MA,DEPOT,32 MA
86,,86,{},1450256240,1450256240,15,15,,,1110,7051,RAJKOT,W1,W1_1,7000,32 MA,DEPOT,32 MA
87,,87,{},1450256240,1450256240,15,15,,,1110,7052,GANDHIDHAM,W1,W1_1,7000,32 MA,DEPOT,32 MA
88,,88,{},1450256240,1450256240,15,15,,,1110,7053,JAMNAGAR,W1,W1_1,7000,32 MA,DEPOT,32 MA
89,,89,{},1450256240,1450256240,15,15,,,1110,7054,BHAVNAGAR,W1,W1_1,7000,32 MA,DEPOT,32 MA
90,,90,{},1450256240,1451972399,15,15,,54.251.110.52,1110,7100,MUMBAI,W1,W1,7102,32 MA,DEPOT,32 MA
91,,91,{},1450256240,1451972399,15,15,,54.251.110.52,1110,7101,SAKINAKA,W1,W1,7102,18 FT,DEPOT,18 FT
92,,92,{},1450256240,1451972399,15,15,,54.251.110.52,1110,7102,NAVI MUMBAI,W1,W1,7102,32 MA,DEPOT,32 MA
93,,93,{},1450256240,1450256240,15,15,,,1110,7103,KOLHAPUR,W1,W1,7150,32 MA,DEPOT,32 MA
94,,94,{},1450256240,1450256240,15,15,,,1110,7104,PANJIM,S,S,7150,32 MA,DEPOT,18 FT
95,,95,{},1450256240,1450256240,15,15,,,1110,7105,LATUR,W1,W1,8150,32 MA,DEPOT,32 MA
96,,96,{},1450256240,1451972399,15,15,,54.251.110.52,1110,7106,BHIWANDI,W1,W1,7102,32 MA,DEPOT,32 MA
97,,97,{},1450256240,1450256240,15,15,,,1110,7150,PUNE RDC,W1,W1,7150,32 MA,DEPOT,32 MA
98,,98,{},1450256240,1450256240,15,15,,,1110,7151,PUNE,W1,W1,7150,32 MA,DEPOT,32 MA
99,,99,{},1450256240,1451972399,15,15,,54.251.110.52,1110,7152,NAGPUR,W1,W1,7152,32 MA,DEPOT,32 MA
100,,100,{},1450256240,1450256240,15,15,,,1110,7153,AURANGABAD,W1,W1,7150,32 MA,DEPOT,32 MA
101,,101,{},1450256240,1450256240,15,15,,,1110,7154,NASIK,W1,W1,7150,32 MA,DEPOT,32 MA
102,,102,{},1450256240,1450256240,15,15,,,1110,7155,AHMEDNAGAR,W1,W1,7150,32 MA,DEPOT,32 MA
103,,103,{},1450256240,1451972399,15,15,,54.251.110.52,1110,7156,AKOLA,W1,W1,7152,32 MA,DEPOT,32 MA
104,,104,{},1450256240,1450256240,15,15,,,1110,7157,SOLAPUR,W1,W1,7150,32 MA,DEPOT,32 MA
105,,105,{},1450256240,1451972399,15,15,,54.251.110.52,1110,7158,CHANDRAPUR,W1,W1,7152,32 MA,DEPOT,32 MA
106,,106,{},1450256240,1450256240,15,15,,,1110,7161,JALGAON,W1,W1,7250,32 MA,DEPOT,32 MA
107,,107,{},1450256240,1450256240,15,15,,,1110,7250,INDORE RDC,W2,W2,7250,32 MA,DEPOT,32 MA
108,,108,{},1450256240,1450256240,15,15,,,1110,7251,INDORE,W2,W2,7250,32 MA,DEPOT,32 MA
109,,109,{},1450256240,1450256240,15,15,,,1110,7252,BHOPAL,W2,W2,7250,32 MA,DEPOT,32 MA
110,,110,{},1450256240,1450781405,15,15,,54.251.110.52,1110,7253,GWALIOR,W2,W2,5050,32 MA,DEPOT,32 MA
111,,111,{},1450256240,1450256240,15,15,,,1110,7254,RATLAM,W2,W2,7250,32 MA,DEPOT,32 MA
112,,112,{},1450256240,1450256240,15,15,,,1110,7301,JABALPUR,W2,W2,7250,32 MA,DEPOT,32 MA
113,,113,{},1450256240,1451972399,15,15,,54.251.110.52,1110,7302,RAIPUR,W2,W2,7302,32 MA,DEPOT,32 MA
114,,114,{},1450256240,1451972399,15,15,,54.251.110.52,1110,7303,BILASPUR,W2,W2,7302,32 MA,DEPOT,32 MA
115,,115,{},1450256240,1450256240,15,15,,,1110,7304,SATNA,W2,W2,7250,32 MA,DEPOT,32 MA
116,,116,{},1450256240,1451996031,15,15,,54.251.110.52,1110,8001,BANGALORE,S,S,8300,32 MA,DEPOT,32 MA
117,,117,{},1450256240,1450256240,15,15,,,1110,8002,MANGALORE,S,S,8300,32 MA,DEPOT,18 FT
118,,118,{},1450256240,1450256240,15,15,,,1110,8003,TUMKUR ROAD,S,S,8300,32 MA,DEPOT,18 FT
119,,119,{},1450256240,1450256240,15,15,,,1110,8004,SHIMOGA,S,S,8300,32 MA,DEPOT,18 FT
120,,120,{},1450256240,1450256240,15,15,,,1110,8005,MYSORE,S,S,8300,32 MA,DEPOT,18 FT
121,,121,{},1450256240,1451996031,15,15,,54.251.110.52,1110,8006,K R PURAM,S,S,8300,32 MA,DEPOT,32 MA
122,,122,{},1450256240,1450256240,15,15,,,1110,8051,BELGAUM,S,S,7150,32 MA,DEPOT,18 FT
